Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
,,2.0,3.0,4.0,6.0,3.0,1.0,2.0,4651.0,2.0,24.0,0.0,1.0,1.0,91.0,29.0,,13.0,0.0,1.0,5.0,15.0,17115.0
,,1.0,1.0,2.0,5.0,0.0,0.0,4.0,6217.0,1.0,47.0,0.0,0.0,1.0,210.0,31.0,,4.0,0.0,1.0,3.0,17.0,5074.0
,,1.0,2.0,3.0,2.0,1.0,0.0,4.0,4306.0,1.0,64.0,0.0,0.0,0.0,161.0,37.0,,17.0,0.0,1.0,6.0,22.0,23137.0
,,1.0,2.0,2.0,3.0,7.0,4.0,2.0,6000.0,2.0,50.0,0.0,0.0,0.0,103.0,21.0,,17.0,1.0,2.0,3.0,27.0,22115.0
,,1.0,1.0,2.0,5.0,3.0,1.0,2.0,4740.0,1.0,42.0,1.0,0.0,1.0,112.0,25.0,2009.0,18.0,0.0,5.0,6.0,24.0,24071.0
,,1.0,3.0,4.0,1.0,8.0,0.0,2.0,5053.0,2.0,37.0,0.0,0.0,1.0,152.0,35.0,2009.0,23.0,1.0,2.0,3.0,3.0,32134.0
,,1.0,1.0,4.0,6.0,8.0,0.0,4.0,4449.0,1.0,38.0,0.0,0.0,1.0,77.0,27.0,2010.0,24.0,0.0,3.0,3.0,6.0,30142.0
,,1.0,1.0,2.0,5.0,1.0,0.0,4.0,7183.0,2.0,45.0,0.0,0.0,0.0,241.0,23.0,,18.0,0.0,5.0,6.0,24.0,24093.0
,,1.0,3.0,3.0,6.0,8.0,1.0,4.0,5381.0,2.0,42.0,0.0,0.0,1.0,124.0,22.0,2013.0,13.0,1.0,2.0,5.0,2.0,18082.0
,,1.0,3.0,3.0,6.0,4.0,3.0,3.0,3869.0,1.0,35.0,0.0,0.0,0.0,78.0,43.0,,6.0,0.0,5.0,6.0,2.0,7130.0
,,1.0,1.0,2.0,6.0,7.0,1.0,3.0,4623.0,1.0,31.0,0.0,0.0,1.0,150.0,37.0,1999.0,17.0,0.0,4.0,4.0,6.0,21125.0
,,1.0,1.0,2.0,6.0,7.0,0.0,5.0,4627.0,2.0,40.0,0.0,0.0,0.0,225.0,16.0,2017.0,11.0,0.0,3.0,2.0,28.0,14115.0
,,2.0,2.0,2.0,2.0,4.0,0.0,3.0,5012.0,2.0,48.0,0.0,0.0,0.0,95.0,28.0,2022.0,4.0,0.0,4.0,1.0,1.0,5124.0
,,1.0,2.0,3.0,4.0,6.0,1.0,2.0,6858.0,1.0,26.0,0.0,0.0,1.0,242.0,36.0,2008.0,22.0,1.0,1.0,5.0,11.0,30063.0
,,1.0,3.0,4.0,6.0,8.0,1.0,4.0,5022.0,2.0,68.0,0.0,0.0,1.0,129.0,37.0,,6.0,0.0,3.0,3.0,9.0,7055.0
,,1.0,2.0,2.0,2.0,1.0,1.0,3.0,5062.0,1.0,50.0,0.0,0.0,1.0,190.0,19.0,,4.0,0.0,4.0,3.0,12.0,5094.0
,,1.0,2.0,4.0,4.0,0.0,0.0,2.0,5569.0,1.0,16.0,1.0,0.0,1.0,231.0,28.0,,9.0,0.0,4.0,5.0,11.0,12127.0
,,1.0,2.0,4.0,2.0,0.0,1.0,2.0,5539.0,1.0,28.0,0.0,0.0,1.0,261.0,22.0,,13.0,0.0,1.0,4.0,12.0,17134.0
,,1.0,2.0,2.0,3.0,4.0,1.0,4.0,4598.0,2.0,58.0,0.0,0.0,1.0,159.0,22.0,2001.0,29.0,1.0,2.0,5.0,27.0,38082.0
,,1.0,3.0,3.0,1.0,1.0,1.0,2.0,5679.0,2.0,19.0,0.0,0.0,1.0,189.0,24.0,,22.0,0.0,3.0,2.0,21.0,27100.0
,,1.0,2.0,3.0,2.0,8.0,0.0,2.0,5678.0,1.0,31.0,0.0,0.0,1.0,65.0,41.0,2016.0,19.0,0.0,4.0,4.0,1.0,24062.0
,,1.0,2.0,3.0,3.0,6.0,0.0,2.0,3980.0,1.0,49.0,0.0,0.0,1.0,156.0,31.0,2010.0,14.0,1.0,4.0,6.0,19.0,17117.0
,,1.0,3.0,2.0,6.0,5.0,0.0,4.0,3588.0,1.0,69.0,0.0,0.0,0.0,199.0,24.0,1997.0,28.0,1.0,5.0,6.0,8.0,40150.0
,,1.0,2.0,3.0,3.0,8.0,1.0,2.0,4388.0,1.0,32.0,0.0,0.0,1.0,80.0,37.0,2003.0,25.0,0.0,5.0,5.0,19.0,32098.0
,,2.0,1.0,4.0,5.0,1.0,0.0,4.0,5670.0,2.0,25.0,0.0,0.0,1.0,140.0,31.0,,12.0,0.0,5.0,2.0,14.0,15125.0
,,1.0,2.0,2.0,3.0,7.0,1.0,3.0,5496.0,1.0,46.0,0.0,0.0,0.0,67.0,31.0,2006.0,22.0,0.0,3.0,3.0,27.0,26066.0
,,1.0,3.0,4.0,6.0,5.0,3.0,4.0,4063.0,1.0,40.0,0.0,0.0,1.0,229.0,21.0,,8.0,0.0,5.0,6.0,9.0,10077.0
,,1.0,3.0,3.0,6.0,8.0,3.0,2.0,5790.0,2.0,31.0,0.0,0.0,0.0,98.0,36.0,,11.0,0.0,5.0,4.0,9.0,14150.0
,,1.0,3.0,2.0,6.0,3.0,1.0,1.0,7692.0,1.0,62.0,1.0,0.0,0.0,154.0,20.0,,0.0,0.0,6.0,0.0,8.0,3123.0
,,1.0,1.0,4.0,6.0,8.0,0.0,4.0,5119.0,1.0,48.0,0.0,0.0,0.0,261.0,24.0,2019.0,6.0,1.0,1.0,1.0,6.0,8056.0
,,1.0,2.0,4.0,4.0,5.0,0.0,4.0,4552.0,2.0,67.0,0.0,0.0,0.0,230.0,17.0,2017.0,12.0,0.0,4.0,5.0,11.0,15082.0
,,1.0,1.0,2.0,6.0,4.0,0.0,2.0,3540.0,2.0,21.0,0.0,0.0,0.0,164.0,19.0,2009.0,18.0,1.0,4.0,6.0,23.0,21064.0
,,1.0,2.0,3.0,2.0,4.0,0.0,3.0,3559.0,1.0,51.0,0.0,0.0,1.0,197.0,29.0,2003.0,34.0,0.0,1.0,4.0,12.0,45061.0
,,1.0,2.0,3.0,4.0,7.0,0.0,2.0,6695.0,2.0,51.0,0.0,0.0,1.0,80.0,24.0,2015.0,14.0,1.0,2.0,3.0,26.0,21116.0
,,1.0,3.0,3.0,6.0,4.0,0.0,2.0,5329.0,1.0,57.0,0.0,0.0,0.0,262.0,46.0,2012.0,16.0,0.0,5.0,1.0,2.0,22055.0
,,1.0,1.0,2.0,5.0,0.0,1.0,4.0,5353.0,2.0,28.0,0.0,0.0,1.0,80.0,30.0,,0.0,0.0,6.0,0.0,24.0,4141.0
,,1.0,1.0,4.0,5.0,5.0,0.0,3.0,4031.0,1.0,59.0,0.0,0.0,1.0,125.0,24.0,1998.0,34.0,0.0,3.0,5.0,14.0,42116.0
,,1.0,2.0,1.0,3.0,0.0,1.0,8.0,6804.0,2.0,59.0,0.0,0.0,0.0,77.0,29.0,,17.0,0.0,3.0,4.0,27.0,19100.0
,,1.0,1.0,4.0,6.0,5.0,0.0,4.0,6915.0,1.0,16.0,0.0,0.0,1.0,94.0,33.0,2021.0,0.0,0.0,6.0,0.0,23.0,6117.0
,,1.0,2.0,3.0,3.0,7.0,0.0,3.0,4243.0,1.0,23.0,0.0,0.0,1.0,153.0,43.0,2006.0,38.0,0.0,3.0,2.0,19.0,47071.0
,,1.0,1.0,4.0,6.0,3.0,0.0,4.0,6729.0,2.0,21.0,0.0,0.0,1.0,80.0,32.0,2004.0,23.0,1.0,5.0,5.0,23.0,32117.0
,,1.0,3.0,3.0,1.0,1.0,0.0,1.0,4487.0,1.0,46.0,0.0,1.0,1.0,216.0,,,25.0,0.0,5.0,5.0,21.0,31087.0
,,1.0,1.0,2.0,6.0,5.0,2.0,2.0,4714.0,2.0,17.0,0.0,0.0,0.0,247.0,26.0,,16.0,1.0,2.0,3.0,28.0,20149.0
,,1.0,1.0,2.0,6.0,5.0,0.0,2.0,3285.0,1.0,56.0,0.0,0.0,0.0,123.0,28.0,2000.0,25.0,0.0,5.0,4.0,28.0,31139.0
,,1.0,1.0,2.0,6.0,7.0,1.0,2.0,4922.0,2.0,22.0,0.0,0.0,0.0,167.0,20.0,2005.0,22.0,0.0,3.0,4.0,23.0,27137.0
,,2.0,1.0,4.0,5.0,7.0,0.0,3.0,5667.0,1.0,63.0,0.0,0.0,1.0,220.0,38.0,2015.0,21.0,1.0,2.0,3.0,14.0,31113.0
,,1.0,2.0,3.0,4.0,1.0,1.0,3.0,5551.0,2.0,30.0,0.0,0.0,0.0,134.0,30.0,,15.0,0.0,1.0,2.0,26.0,20092.0
,,1.0,1.0,2.0,6.0,3.0,0.0,3.0,4200.0,2.0,57.0,0.0,0.0,1.0,216.0,39.0,1998.0,36.0,0.0,1.0,6.0,28.0,49083.0
,,1.0,1.0,4.0,6.0,1.0,0.0,2.0,5601.0,2.0,53.0,0.0,0.0,0.0,64.0,40.0,,9.0,0.0,3.0,1.0,29.0,10145.0
,,2.0,1.0,3.0,5.0,3.0,0.0,3.0,3700.0,1.0,66.0,0.0,0.0,1.0,196.0,26.0,2000.0,31.0,1.0,2.0,5.0,10.0,44116.0
,,1.0,2.0,4.0,3.0,4.0,0.0,4.0,4020.0,2.0,36.0,0.0,0.0,0.0,240.0,23.0,2016.0,6.0,1.0,2.0,5.0,19.0,8127.0
